id,name,name_fr,name_ar,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,refs,operator,phone,opening_hours,dispensing,address
02-00148,DAHMANE SBAIHIA A,DAHMANE SBAIHIA A,,02,0201,Chlef,36.161645,1.321326,exact,osm_node,osm,"{""osm"":""node/8796172019""}",,,,,
02-00149,MELLAL MOUSTAPHA,MELLAL MOUSTAPHA,,02,0201,Chlef,36.141033,1.307881,exact,osm_node,osm,"{""osm"":""node/8796245617""}",,,,,
02-00150,TARI M,TARI M,,02,0210,Ouled Fares,36.198766,1.254876,exact,osm_node,osm,"{""osm"":""node/8818555917""}",,,,,
02-00151,BENZEKHROUFA KH,BENZEKHROUFA KH,,02,0208,Sobha,36.112965,1.107052,exact,osm_node,osm,"{""osm"":""node/8829225218""}",,,,,
02-00152,HARCHOUCHE A,HARCHOUCHE A,,02,0233,Oum Drou,36.19952,1.390451,exact,osm_node,osm,"{""osm"":""node/8838811017""}",,,,,
02-00153,AISSANI Z,AISSANI Z,,02,0212,Boukadir,36.065451,1.123717,exact,osm_node,osm,"{""osm"":""node/8851453617""}",,,,,
02-00154,OUNAN Ch,OUNAN Ch,,02,0212,Boukadir,36.065528,1.128177,exact,osm_node,osm,"{""osm"":""node/8851453717""}",,,,,
02-00155,BENATTIA AEK,BENATTIA AEK,,02,0221,Oued Sly,36.100016,1.201539,exact,osm_node,osm,"{""osm"":""node/8854606117""}",,,,,
02-00156,DIDOUCHE N,DIDOUCHE N,,02,0221,Oued Sly,36.100864,1.203426,exact,osm_node,osm,"{""osm"":""node/8854606417""}",,,,,
02-00157,AMEUR Mohammed,AMEUR Mohammed,,02,0221,Oued Sly,36.10094,1.197993,exact,osm_node,osm,"{""osm"":""node/8855178417""}",,,,,
02-00158,NEFIDSA Abdellah,NEFIDSA Abdellah,,02,0204,El Karimia,36.113956,1.551227,exact,osm_node,osm,"{""osm"":""node/8856984228""}",,,,,
02-00159,ABBACI Zahra,ABBACI Zahra,,02,0208,Sobha,36.109809,1.108923,exact,osm_node,osm,"{""osm"":""node/8857710019""}",,,,,
02-00160,YETTO A,YETTO A,,02,0232,Ain Merane,36.154321,0.939387,exact,osm_node,osm,"{""osm"":""node/8898772017""}",,,,,
02-00161,BENHALIMA M,BENHALIMA M,,02,0210,Ouled Fares,36.231573,1.23802,exact,osm_node,osm,"{""osm"":""node/8933222917""}",,,,,
02-00162,BELBOULA A,BELBOULA A,,02,0220,Zeboudja,36.349839,1.431098,exact,osm_node,osm,"{""osm"":""node/8951631319""}",,,,,
02-00163,HAMIDCHA A,HAMIDCHA A,,02,0212,Boukadir,36.063086,1.132079,exact,osm_node,osm,"{""osm"":""node/8960787917""}",,,,,
02-00164,Lakhal E,Lakhal E,,02,0206,Taougrit,36.243113,0.922353,exact,osm_node,osm,"{""osm"":""node/9031828117""}",,,,,
