id,name,name_ar,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,type,type_label_fr,sector,supervisory_ministry,website
00080,Ecole Supérieure d’Informatique (Sidi Bel Abbes)- 08 Mai 1945,المدرسة العليا للإعلام الآلي بسيدي بلعباس- 08 ماي,22,,,35.19389,-0.64139,approximate,wilaya,mesrs,grande_ecole,Grande école,public,,http://www.esi-sba.dz/
00081,Ecole Supérieure de Commerce-Mouloud Kacem Naït Belkacem,المدرسة العليا للتجارة- المجاهد مولود قاسم نايت بلقاسم,42,,Kolea,36.6389,2.768,approximate,commune,mesrs,grande_ecole,Grande école,public,,http://www.esc-alger.dz/
00082,Ecole Supérieure de Comptabilité et de Finance de Constantine ex EPSECG Constantine,المدرسة العليا المحاسبة والمالية بقسنطينة سابقا- ق. ت.ع.ا.ت.ع.ت – قسنطينة,25,,,36.35,6.6,approximate,wilaya,mesrs,grande_ecole,Grande école,public,,http://www.escf-constantine.dz/
00083,Ecole Supérieure de Gestion et d’Economie Numérique,المدرسة العليا للتسيير و الاقتصاد الرقمي,42,,Kolea,36.6389,2.768,approximate,commune,mesrs,grande_ecole,Grande école,public,,http://www.esgen.edu.dz/
00084,Ecole Supérieure de Management de Tlemcen ex EPSECG Tlemcen,,13,,,34.88278,-1.31667,approximate,wilaya,mesrs,grande_ecole,Grande école,public,,http://www.epsecg-tlemcen.dz/
00085,Ecole Supérieure des Sciences appliquées d’Alger ex EP ST Alger,,16,,Casbah,36.7885836,3.0613066,exact,campus,mesrs,grande_ecole,Grande école,public,,http://www.essa-alger.dz/
00086,Ecole Supérieure des Sciences Appliquées de Tlemcen ex EP ST Tlemcen,المدرسة العليا في علوم التطبيقية بتلمسان سابقا- ق. ت. ع. ت.- تلمسان,13,,,34.88278,-1.31667,approximate,wilaya,mesrs,grande_ecole,Grande école,public,,http://www.essa-tlemcen.dz/
00087,Ecole Supérieure des sciences Biologiques d’ Oran ex EP SNV Oran,المدرسة العليا للعلوم البيولوجية بوهران سابقا-ق. ت. ع.ط.ح. – وھران,31,,,35.69694,-0.63306,approximate,wilaya,mesrs,grande_ecole,Grande école,public,,http://www.essb-oran.edu.dz/index.php/fr/
00088,Ecole Supérieure des Sciences de l’Aliment et des Industries Agroalimentaires d’Alger ex EP SNV Alger,المدرسة العليا في علوم الغذاء والصناعات الغذائية الفلاحية بالجزائر سابقا- ق. ت. ع.ط.ح -الجزائر,16,,,36.7325,3.08722,approximate,wilaya,mesrs,grande_ecole,Grande école,public,,http://www.essaia.dz/
00089,Ecole Supérieure des Technologies Industrielles de Annaba ex EP ST Annaba,,23,,,36.9,7.767,approximate,wilaya,mesrs,grande_ecole,Grande école,public,,https://esti-annaba.dz/
00090,Ecole Supérieure en Génie Electrique et Energétique d’Oran ex EP ST Oran,المدرسة العليا في الهندسة الكهروبائية والطاقوية بوهران سابقا-ق. ت. ع. ت.- وھران,31,,,35.69694,-0.63306,approximate,wilaya,mesrs,grande_ecole,Grande école,public,,http://www.esgee-oran.dz/
00091,École Supérieure en Sciences et Technologies de l’Informatique et du Numérique de Bejaia,المدرسة العليا في علوم وتكنولوجيات الإعلام الآلي ببجاية,06,,Amizour,36.6635093,4.9132188,exact,campus,mesrs,grande_ecole,Grande école,public,,https://estin.dz/
00092,"L’Ecole nationale supérieure des énergies renouvelables, environnement et développement durable – Batna",المدرسة الوطنية العليا للطاقات المتجددة والبيئة والتنمية المستدامة,05,,,35.55,6.16667,approximate,wilaya,mesrs,grande_ecole,Grande école,public,,http://www.hns-re2sd.dz/
00093,L’Ecole supérieure de l’agriculture saharienne – El Oued,المدرسة الوطنية العليا للزراعات الصحراوية – الوادي,39,,,33.36111,6.86056,approximate,wilaya,mesrs,grande_ecole,Grande école,public,,http://esas-eloued.dz/
00094,,الأكاديمية العسكرية بشرشال (شرشال، ولاية تيبازة),42,,,36.59194,2.44944,approximate,wilaya,mesrs,grande_ecole,Grande école,public,Ministère de la Défense nationale,
00095,,المدرسة العسكرية المتعددة التقينات (برج البحري، ولاية الجزائر),16,,,36.7325,3.08722,approximate,wilaya,mesrs,grande_ecole,Grande école,public,Ministère de la Défense nationale,
