id,name,wilaya_code,commune_code,commune,commune_ar,lat,lng,geo_precision,geo_method,source,operator,technology,address
djezzy-f0ddb5ad34,Diar el Gharb,16,,,,36.7942,3.25876,exact,operator_map,djezzy,djezzy,5G,BORDJ EL BAHRI
djezzy-f13ac0210f,Opera d'Alger Indoor,16,,,,36.73719,2.93001,exact,operator_map,djezzy,djezzy,5G,OULED FAYET
djezzy-f160445a2a,cite Tribou bab Ezzouar,16,,,,36.73046,3.18443,exact,operator_map,djezzy,djezzy,5G,BEB EZZOUAR
djezzy-f1c7506721,Cité Abane Ramdane 2,16,,,,36.69257,3.23776,exact,operator_map,djezzy,djezzy,5G,DAR EL BEIDA
djezzy-f231c84d63,Airport,13,,,,35.01165,-1.44575,exact,operator_map,djezzy,djezzy,5G,ZENATA
djezzy-f2422bb6a4,Bastille_2,31,,,,35.68841,-0.6263,exact,operator_map,djezzy,djezzy,5G,Oran
djezzy-f26635a981,Village Cheraga_1,16,,,,36.7701,2.9379,exact,operator_map,djezzy,djezzy,5G,CHERAGA
djezzy-f3bb20350b,Ain Benian,16,,,,36.8,2.9422,approximate,operator_map,djezzy,djezzy,5G,AIN BENIAN
djezzy-f3bdb14f0b,El Hamiz 5,16,,,,36.7363,3.2291,exact,operator_map,djezzy,djezzy,5G,DAR EL BEIDA
djezzy-f43caed839,HAOUCHE MIHOUB2,16,,,,36.6584,3.0935,exact,operator_map,djezzy,djezzy,5G,BARAKI
djezzy-f4d7b1ba78,El Fourcene,31,,,,35.628056,-0.575278,exact,operator_map,djezzy,djezzy,5G,SIDI CHAMI
djezzy-f533cd9086,500 Logements,34,,,,36.0813,4.77516,exact,operator_map,djezzy,djezzy,5G,Bordj Bou Arreridj
djezzy-f56ca13dce,Oued l'Orange,16,,,,36.79193,3.00443,exact,operator_map,djezzy,djezzy,5G,BOUZAREAH
djezzy-f66f50854a,cite LPP 662 lgts Ouled Fayet,16,,,,36.71341,2.94861,exact,operator_map,djezzy,djezzy,5G,OULED FAYET
djezzy-f6796d1d86,HAMIZ 2,16,,,,36.73292,3.23427,exact,operator_map,djezzy,djezzy,5G,DAR EL BEIDA
djezzy-f71a411ba7,Ouzidane 2,13,,,,34.95453,-1.291,exact,operator_map,djezzy,djezzy,5G,CHETOUANE
djezzy-f792b21b2f,Hai Ras El Ain,31,,,,35.691628,-0.6558,exact,operator_map,djezzy,djezzy,5G,Oran
