id,name,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,operator,address,sources
250605,Agence nouvelle ville Ali mendjli Square,25,,El Khroub,36.22914576332777,6.5751325423287215,exact,carrier_relay,guepex,guepex,650 lpa عمارة 24 زاوية محل 145,"[""guepex"",""yalidine""]"
260701,Agence Médéa (Beni Slimane),26,,Beni Slimane,36.228267439084156,3.310825256843856,exact,carrier_relay,guepex,yalidine,مجموعة ملكية رقم 44 قسم 44 بالتجزئة 55 حصة بني سليمان,"[""guepex"",""yalidine""]"
260801,Agence Berrouaghia,26,,Berrouaghia,36.1324003304314,2.911086,exact,carrier_relay,yalidine,guepex,"Lotissement Ali Ben Haoua Cité Mohammedi , Berrouaghia, Médéa","[""yalidine""]"
263301,Agence de Médéa (M’sallah),26,,Médéa,36.25896865121911,2.7612782711641226,exact,carrier_relay,guepex,yalidine,"Rue M’sallah, Médéa","[""guepex"",""yalidine""]"
263302,Agence de Médéa (Pole Urbain),26,,Médéa,36.267663838556054,2.7906953509033734,exact,carrier_relay,guepex,guepex,Cité 80 Logs LSP Pole Urbain (à coté de la station de service Benhafri),"[""guepex"",""yalidine""]"
265901,Agence Tablat,26,,Tablat,36.40665669612093,3.3224722,exact,carrier_relay,guepex,yalidine,"Rue Nationale N:08, Tablat, Médéa.","[""guepex"",""yalidine""]"
271801,Agence de Salamandre,27,,Mostaganem,35.9213552114013,0.07318708477898198,exact,carrier_relay,guepex,yalidine,"Salamandre (Rond Point De La Douane), Mostaganem","[""guepex"",""yalidine""]"
271802,Agence de Kharouba (Mostaganem),27,,Mostaganem,35.975042654997694,0.10676934149873608,exact,carrier_relay,guepex,guepex,"Cité 600 Logement Kharouba, Mostaganem","[""guepex"",""yalidine""]"
281001,Agence de Berhoum,28,,Berhoum,35.65709385298696,5.030348826732219,exact,carrier_relay,guepex,guepex,محل رقم 03 مجموعة ملكية 333 قسم 02 حي زيغود يوسف بلدية برهوم,"[""guepex"",""yalidine""]"
281201,Agence de Bou Saâda,68,,Bou Saâda,35.22031324045397,4.178352103974209,exact,carrier_relay,guepex,yalidine,Cite 20 Aout 636/N°05 A,"[""guepex"",""yalidine""]"
282802,Agence Salem Shopping Mall,28,,M'Sila,35.711826195939764,4.533467813415232,exact,carrier_relay,guepex,yalidine,"Salem Shopping Mall, centre commercial (en face la daïra)","[""guepex"",""yalidine""]"
283901,Agence Sidi Aïssa,28,,Sidi Aïssa,35.872334331109606,3.7830036541912944,exact,carrier_relay,guepex,guepex,بلدية سيدي عيسى E03 محل 07 حي الوئام المدني مجموعة ملكية 05 قسم 46 عمارة,"[""guepex"",""yalidine""]"
292801,Agence de Mascara,29,,Mascara,35.401212227438585,0.1493982676612564,exact,carrier_relay,guepex,yalidine,zone 08 a coté de la poste Emir Abdelkader,"[""guepex"",""yalidine""]"
300801,Agence de Hassi Messaoud,30,,Hassi Messaoud,31.688989360431812,6.068568678310962,exact,carrier_relay,guepex,yalidine,"Derrière la CNAS, à coté de la clinique Ibn Sina","[""guepex"",""yalidine""]"
30102,Agence Laghouat (Cité OASIS),03,,Laghouat,33.811561602108206,2.8597337097525823,exact,carrier_relay,guepex,easyandspeed,"Cité l'OASIS, centre ville Laghouat, Laghouat.","[""guepex"",""yalidine""]"
301301,Agence de Ouargla Centre Ville,30,,Ouargla,31.96296665406084,5.324182871163383,exact,carrier_relay,guepex,guepex,حي حركات,"[""guepex"",""yalidine""]"
301302,Agence de Ouargla (Chetti el Wekal),30,,Ouargla,31.942699293799976,5.312770721210608,exact,carrier_relay,guepex,yalidine,"Ave 1er novembre 1954, El Mkhadma, (Arrêt de tram Chatte El Wakla)","[""guepex"",""yalidine""]"
310101,Saint Hubert,31,,Oran,35.67576049674193,-0.6399573752101966,exact,carrier_relay,guepex,yalidine,Rue de l'ANP Projet rue 153 GV 50-89 part 2 et 3 (Entre CPA ET CASNOS),"[""guepex""]"
310102,Agence Cité Djamel,31,,Oran,35.69672884038709,-0.6024611501953713,exact,carrier_relay,guepex,guepex,"Rond-point Cité Djamel (En Allant vers Hai Sabah), Cité Djamel, Oran","[""guepex"",""yalidine""]"
310103,Agence de Gambetta,31,,Oran,35.70584160555386,-0.6116408828756563,exact,carrier_relay,guepex,zimou-express,"54 avenue d'arcole, Bouguerri Khelifa, Gambetta","[""guepex"",""yalidine""]"
310104,Agence de Canastel,31,,Oran,35.7453859649244,-0.5692101104496627,exact,carrier_relay,yalidine,speedmail,"25, Rue Akid Lotfi Local N° 02, Canastel, Oran","[""yalidine""]"
310105,Agence MARAVAL,31,,Oran,35.671703284198706,-0.6511472711641236,exact,carrier_relay,yalidine,guepex,"Cité El Othmania, rue Boubkeur Belkaid N° 01, local N° 01, rez-de-chaussée, commune d'Oran-ORAN","[""yalidine""]"
310301,Agence El Morchid,31,,Bir El Djir,35.710492588656976,-0.5869307488573879,exact,carrier_relay,guepex,yalidine,"Coopérative Immobilière Dar El Amel N°68, El Morchid, Oran","[""guepex"",""yalidine""]"
310302,Agence Fernand Ville,31,,Bir El Djir,35.730398307760176,-0.5790437244693557,exact,carrier_relay,guepex,yalidine,"65 Rue 1er Novembre Hai Khemisti ,Part 4 (Mosquée el Kods), Fernand Ville, Oran","[""guepex"",""yalidine""]"
310303,Agence ILAF Belkaïd (Oran),31,,Bir El Djir,35.74383317481581,-0.5439541698194157,exact,carrier_relay,guepex,easyandspeed,"Groupe 122 Logement - Résidence ILAF Belkaïd, Oran","[""guepex"",""yalidine""]"
310601,Agence de Arzew,31,,Arzew,35.84733672313886,-0.31784657704458,exact,carrier_relay,guepex,guepex,17 Lotissement N 66 Plan Lot 167,"[""guepex"",""yalidine""]"
31901,Agence de Aflou,59,,Aflou,34.11114198779646,2.0961174596054004,exact,carrier_relay,guepex,yalidine,"Hai Zahi Ben Aissa, Route El Bayadh (à coté de la centrale de police)","[""guepex"",""yalidine""]"
320101,Agence de El Bayadh,32,,El Bayadh,33.68182465412115,1.0147081430506253,exact,carrier_relay,guepex,yalidine,Rue Mohamed Touil (A Cote Auberge Hanna),"[""guepex"",""yalidine""]"
