id,name,status,postal_code,postal_code_old,address,commune_fr,commune_ar,wilaya_code,wilaya_fr,wilaya_ar,lat,lng
13195,OEM 18 FEV LS2,1,04050,,,OUM EL BOUAGHI,أم البواقي,04,OUM EL BOUAGHI,أم البواقي,35.8748984,7.0945876
13196,OEM 18 FEV LS3,1,04050,,,OUM EL BOUAGHI,أم البواقي,04,OUM EL BOUAGHI,أم البواقي,35.8748898,7.0947093
13197,OEM 18 FEV LS4,1,04050,,,OUM EL BOUAGHI,أم البواقي,04,OUM EL BOUAGHI,أم البواقي,35.8749443,7.0945279
10604,AIN BAIDA SAIDI DJEMOI,1,04057,,,AIN BEIDA,عين البيضاء,04,OUM EL BOUAGHI,أم البواقي,35.7891334,7.3924251
10605,AIN MLILA 05 JUILLET,1,04061,,,AIN M'LILA,عين مليلة,04,OUM EL BOUAGHI,أم البواقي,36.0384317,6.560055
10607,AIN KERCHA SALEM,1,04063,,,AIN KERCHA,عين كرشة,04,OUM EL BOUAGHI,أم البواقي,35.9248023,6.7035749
10610,BEKHOUCHE AISSA,1,04064,,,AIN FAKROUN,عين فكرون,04,OUM EL BOUAGHI,أم البواقي,35.9809263,6.8720425
10606,AIN BEIDA EL KAHINA,1,04065,,,AIN BEIDA,عين البيضاء,04,OUM EL BOUAGHI,أم البواقي,35.87666,7.117265
10608,SOUK NAAMANE HB,1,04067,,,SOUK NAAMANE,سوق نعمان,04,OUM EL BOUAGHI,أم البواقي,35.8924467,6.3883753
15182,MESKIANA 08 MAI 45,1,04071,,,MESKIANA,مسكيانة,04,OUM EL BOUAGHI,أم البواقي,35.6255316,7.660684
15184,AIN BABOUCHE 18 FEVRIER,1,04074,,,AIN BABOUCHE,عين بابوش,04,OUM EL BOUAGHI,أم البواقي,35.8761883,7.1176967
2145,BATNA RP INDOOR,1,05000,,,BATNA,باتنة,05,BATNA,باتنة,35.551953,6.1782449
2146,BATNA RP,1,05000,,,BATNA,باتنة,05,BATNA,باتنة,35.5522206,6.1788319
13202,BATNA RP LS1,1,05000,,,BATNA,باتنة,05,BATNA,باتنة,35.552167,6.1786634
13203,BATNA RP LS2,1,05000,,,BATNA,باتنة,05,BATNA,باتنة,35.5522189,6.1785717
13204,BATNA RP LS3,1,05000,,,BATNA,باتنة,05,BATNA,باتنة,35.5521703,6.1785974
13205,BATNA RP LS4,1,05000,,,BATNA,باتنة,05,BATNA,باتنة,35.5522201,6.1785687
1664,BARIKA,1,05001,,,BARIKA,بريكة,05,BATNA,باتنة,35.3852626,5.3704315
