id,name,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,refs,type,category,address,hours,code_ouverture
18-002,Jijel - ​EL MILIA,18,1809,El Milia,36.74901,6.27247,exact,operator_point,djezzy,"{""djezzy"":""ZD2""}",boutique,,Grand Boulevard - El Milia - Jijel,08H00 - 18H00,
18-003,Jijel - Tahér,18,1805,Taher,36.77161,5.896,exact,operator_point,djezzy,"{""djezzy"":""ZH2""}",boutique,,"23 Rue Amra Tahar, Tahér - Jijel",08H00 - 18H00,
19-001,SÉTIF - EL EULMA,19,1920,El Eulma,36.15182,5.68801,exact,operator_point,djezzy,"{""djezzy"":""Z72""}",boutique,C,"120, Rue du 1er Novembre 1954, El Eulma, Sétif.",08H00-19H00,C19B002
19-002,SÉTIF - Sidi Bouaroua,19,1901,Setif,36.19209,5.42468,exact,operator_point,djezzy,"{""djezzy"":""Z83""}",boutique,C,"04, Boulevard Aouni Ferradji, Sidi Bouaroua, Sétif.",08H00-19H00,C19B003
19-003,Sétif - Parc Mall,19,1901,Setif,36.19177,5.40975,exact,operator_point,djezzy,"{""djezzy"":""ZE7""}",boutique,,"Prombati - Park mall, Setif.",10H00-22H00,
19-004,Sétif - Coopérative El Wafa,19,1901,Setif,36.204854,5.431834,exact,operator_point,djezzy,"{""djezzy"":""ZH9""}",boutique,,"Cité Hachemi Coopérative el Wafa N°12, Sétif.",08H00-18H00,
20-001,SAIDA,20,2001,Saida,34.83155,0.14632,exact,operator_point,djezzy,"{""djezzy"":""Z40""}",boutique,B,"46, Avenue Ahmed Medeghri, Saïda.",08H00 - 19H00,O20B001
21-001,SKIKDA - BACHIR BOUKADOUM,21,2101,Skikda,36.87234,6.90916,exact,operator_point,djezzy,"{""djezzy"":""Z21""}",boutique,B,"50, Rue Bachir Boukadoum (face à la CNR), Skikda.",08H00 - 20H00,C21B001
21-002,Azzaba - Skikda,21,2104,Azzaba,36.7382,7.10728,exact,operator_point,djezzy,"{""djezzy"":""ZF6""}",boutique,,"56 Avenue de l’indépendance, Azzaba - Skikda",08H00 - 18H00,
21-003,Skikda - El Harrouche,21,2117,Zerdezas,36.65245,6.83603,exact,operator_point,djezzy,"{""djezzy"":""ZG6""}",boutique,,"40 Rue Mégharbi, El Harrouche - Skikda",08H00 - 18H00,
22-001,Sidi Bel Abbes - République,22,2201,Sidi Bel-Abbes,35.19074,-0.63368,exact,operator_point,djezzy,"{""djezzy"":""Z19""}",boutique,B+,"21, Avenue de la république, SBA.",08H00 - 19H00,O22B001
23-001,Annaba - Ex Majestic,23,2301,Annaba,36.90625,7.76014,exact,operator_point,djezzy,"{""djezzy"":""Z10""}",boutique,B+,"15, Boulevard du 1er Novembre 1954 (Ex Majestic), Annaba.",08H00 - 20H00,C23B001
23-002,Annaba - El Bouni,23,2311,Sidi Amar,36.85454,7.74166,exact,operator_point,djezzy,"{""djezzy"":""Z84""}",boutique,C,"Division 52, Groupe 62 N° D15, EL Bouni Centre, Annaba",08H00 - 20H00,C23B002
24-001,GUELMA,24,2401,Guelma,36.46679,7.43216,exact,operator_point,djezzy,"{""djezzy"":""Z36""}",boutique,,"06, Rue Ali Chorfi, Guelma.",08H00 - 19H00,
25-001,CONSTANTINE - Ex St Jean,25,2501,Constantine,36.36248,6.60469,exact,operator_point,djezzy,"{""djezzy"":""Z07""}",boutique,A+,"15, Rue Belouizdad (Ex St Jean), Constantine.",08H00 - 20H00,C25B001
25-002,Constantine - EL KHROUB,25,2506,El Khroub,36.25869,6.70096,exact,operator_point,djezzy,"{""djezzy"":""Z25""}",boutique,,"Centre Commercial Cité 1600 Lgts N° 761, El Khroub, Constantine",08H00 - 20H00,
25-003,CONSTANTINE -  Sidi Mabrouk,25,2501,Constantine,36.3608,6.63679,exact,operator_point,djezzy,"{""djezzy"":""Z82""}",boutique,B,"09, Rue Larakeb Ahmed, Sidi Mabrouk, Constantine.",08H00 - 19H00,C25B004
25-004,Constantine - Nouvel Aéroport International,25,2506,El Khroub,36.283724,6.622237,exact,operator_point,djezzy,"{""djezzy"":""ZA1""}",boutique,,"Aéroport Mohamed Boudiaf, Hall Central, Constantine.",08H00 - 19H00,
