id,name,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,refs,type,type_label_fr,type_label_ar,address,operator_wilaya
06-027,CSO OUZELLAGUEN 2,06,0636,Ouzellaguen,36.5405,4.6121,exact,operator_api,ooredoo,"{""ooredoo"":""1467611""}",CSO,City Shop Ooredoo,متجر أوريدو,Ouzelaguen Bejaia,Bejaia
06-028,CSO BEJAIA,06,0602,Amizour,36.6432,4.90374,exact,operator_api,ooredoo,"{""ooredoo"":""1467613""}",CSO,City Shop Ooredoo,متجر أوريدو,A côté du Centre Culturel,Bejaia
07-001,ESO000191,07,0721,Tolga,34.7314,5.38139,exact,operator_api,ooredoo,"{""ooredoo"":""1422920""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,06 CTE. 30 LOGTS BT02,Biskra
07-002,ESO000506,07,0721,Tolga,34.7292,5.38444,exact,operator_api,ooredoo,"{""ooredoo"":""1422922""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,R. SI EL HAOUAS,Biskra
07-003,ESO000454,07,0731,El Ghrous,34.7056,5.28444,exact,operator_api,ooredoo,"{""ooredoo"":""1422924""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,PLACE KHELLAL MOHAMED,Biskra
07-004,EO BISKRA,07,0701,Biskra,34.8534,5.72476,exact,operator_api,ooredoo,"{""ooredoo"":""1467837""}",EO,Espace Ooredoo,فضاء أوريدو,N 11 ZAATCHA RDC COMMUNE Biskra,Biskra
07-005,ESO000507,07,0701,Biskra,34.8417,5.73111,exact,operator_api,ooredoo,"{""ooredoo"":""1467847""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,R. HAKIM SADANE CITE EL MOUSSALA,Biskra
07-006,ESO000558,07,0701,Biskra,34.8417,5.71444,exact,operator_api,ooredoo,"{""ooredoo"":""1467849""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,157 AVE. ZAATCHA,Biskra
08-001,ESO001018,08,0801,Bechar,31.597283,-2.227482,exact,operator_api,ooredoo,"{""ooredoo"":""1467377""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,Lotissement  52 coopropriete N°134 Lot N°2 local N°3,Bechar
09-001,ESO000515,09,0901,Blida,36.4731,2.82417,exact,operator_api,ooredoo,"{""ooredoo"":""1422932""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,AVE AMMARA YOUCEF N°02,Blida
